rang_bundesweit,verein,verband,gebiet,ligastufe,spielklasse,staffel,staffel_id,platz_in_staffel,spiele,siege,unentschieden,niederlagen,tore,gegentore,tordifferenz,punkte,punkte_pro_spiel,rangaenderung_vorwoche,quelle
91,HSG Marienheide/Müllenbach,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Frauen Gr. 3,12909,2,0,0,0,0,0,0,0,0,0.0,,handball.net
92,HSG Merkstein / Bardenberg,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Frauen Gr. 3,12909,3,0,0,0,0,0,0,0,0,0.0,,handball.net
93,HSG Mertesdorf-Ruwertal,Handballverband Rheinland,Handballverband Rheinland,5,Oberliga,Oberliga Frauen · Handballverband Rheinland,12821,6,0,0,0,0,0,0,0,0,0.0,,handball.net
94,HSG Nahe-Glan,Handballverband Rheinhessen-Pfalz,Handballverband Rheinhessen-Pfalz,5,Oberliga,F-OL,12404,4,0,0,0,0,0,0,0,0,0.0,,handball.net
95,HSG Neudorf/Döbeln,Handballverband Sachsen,Handballverband Sachsen,5,Oberliga,OLS Frauen,12543,4,0,0,0,0,0,0,0,0,0.0,,handball.net
96,HSG Petershagen/Lahde,Handballverband Westfalen,Handballverband Westfalen,5,Oberliga,HVW Frauen Oberliga Staffel 1,12651,2,0,0,0,0,0,0,0,0,0.0,,handball.net
97,HSG Pinnau,Hamburger Handballverband,Hamburger Handballverband,5,Oberliga,Oberliga Frauen (200),12383,4,0,0,0,0,0,0,0,0,0.0,,handball.net
98,HSG Refrath/Hand,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Frauen Gr. 3,12909,4,0,0,0,0,0,0,0,0,0.0,,handball.net
99,HSG Schwerte Westhofen 1.D,Handballverband Westfalen,Handballverband Westfalen,5,Oberliga,HVW Frauen Oberliga Staffel 2,12652,7,0,0,0,0,0,0,0,0,0.0,,handball.net
100,HSG Tva/Atsv Saarbrücken,Handballverband SAAR,Handballverband SAAR,5,Oberliga,Oberliga Frauen,13012,6,0,0,0,0,0,0,0,0,0.0,,handball.net
101,HSG Veruka,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Frauen Gr. 1,12910,5,0,0,0,0,0,0,0,0,0.0,,handball.net
102,HSG Werther/Borgholzhausen,Handballverband Westfalen,Handballverband Westfalen,5,Oberliga,HVW Frauen Oberliga Staffel 1,12651,3,0,0,0,0,0,0,0,0,0.0,,handball.net
103,HSG Wittlich II,Handballverband Rheinland,Handballverband Rheinland,5,Oberliga,Oberliga Frauen · Handballverband Rheinland,12821,7,0,0,0,0,0,0,0,0,0.0,,handball.net
104,HSV Bocklemünd,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Frauen Gr. 3,12909,5,0,0,0,0,0,0,0,0,0.0,,handball.net
105,HSV Frechen,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Frauen Gr. 3,12909,6,0,0,0,0,0,0,0,0,0.0,,handball.net
106,HSV Marienberg,Handballverband Sachsen,Handballverband Sachsen,5,Oberliga,OLS Frauen,12543,5,0,0,0,0,0,0,0,0,0.0,,handball.net
107,HSV Sobernheim,Handballverband Rheinhessen-Pfalz,Handballverband Rheinhessen-Pfalz,5,Oberliga,F-OL,12404,5,0,0,0,0,0,0,0,0,0.0,,handball.net
108,HSV Solingen-Gräfrath 76 e.V. II,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Frauen Gr. 2,12908,5,0,0,0,0,0,0,0,0,0.0,,handball.net
109,HSV Wegberg,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Frauen Gr. 2,12908,6,0,0,0,0,0,0,0,0,0.0,,handball.net
110,HTV Hemer E.V.,Handballverband Westfalen,Handballverband Westfalen,5,Oberliga,HVW Frauen Oberliga Staffel 2,12652,8,0,0,0,0,0,0,0,0,0.0,,handball.net
111,HVE Villigst-Ergste,Handballverband Westfalen,Handballverband Westfalen,5,Oberliga,HVW Frauen Oberliga Staffel 2,12652,9,0,0,0,0,0,0,0,0,0.0,,handball.net
112,IF Stjernen Flensborg,Handballverband Schleswig-Holstein,Handballverband Schleswig-Holstein,5,Oberliga,Meisterrunde · Handballverband Schleswig-Holstein,14062,7,0,0,0,0,0,0,0,0,0.0,,handball.net
113,LIT Tribe 1912 Nordhemmern-Mindenerwald-Holzhausen II II,Handballverband Westfalen,Handballverband Westfalen,5,Oberliga,HVW Frauen Oberliga Staffel 1,12651,4,0,0,0,0,0,0,0,0,0.0,,handball.net
114,MTV KÖLN 1850,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Frauen Gr. 3,12909,7,0,0,0,0,0,0,0,0,0.0,,handball.net
115,Mettmann-Sport,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Frauen Gr. 2,12908,7,0,0,0,0,0,0,0,0,0.0,,handball.net
116,Moskitos 2,Handballverband SAAR,Handballverband SAAR,5,Oberliga,Oberliga Frauen,13012,7,0,0,0,0,0,0,0,0,0.0,,handball.net
117,Niendorfer TSV,Hamburger Handballverband,Hamburger Handballverband,5,Oberliga,Oberliga Frauen (200),12383,5,0,0,0,0,0,0,0,0,0.0,,handball.net
118,OBERLIGA FRAUEN (ERWACHSENE Oberliga),Handballverband SAAR,Handballverband SAAR,5,Oberliga,Oberliga Frauen,13012,8,0,0,0,0,0,0,0,0,0.0,,handball.net
119,Ohligser TV 1,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Frauen Gr. 2,12908,8,0,0,0,0,0,0,0,0,0.0,,handball.net
120,PSV e.V. Recklinghausen II,Handballverband Westfalen,Handballverband Westfalen,5,Oberliga,HVW Frauen Oberliga Staffel 2,12652,10,0,0,0,0,0,0,0,0,0.0,,handball.net
121,Polizei SV KÖLN,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Frauen Gr. 3,12909,8,0,0,0,0,0,0,0,0,0.0,,handball.net
122,Pulheimer SC,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Frauen Gr. 3,12909,9,0,0,0,0,0,0,0,0,0.0,,handball.net
123,Rellinger TV,Hamburger Handballverband,Hamburger Handballverband,5,Oberliga,Oberliga Frauen (200),12383,6,0,0,0,0,0,0,0,0,0.0,,handball.net
124,Rheydter TV 1847,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Frauen Gr. 2,12908,9,0,0,0,0,0,0,0,0,0.0,,handball.net
125,Rotation Weissenborn,Handballverband Sachsen,Handballverband Sachsen,5,Oberliga,OLS Frauen,12543,6,0,0,0,0,0,0,0,0,0.0,,handball.net
126,SC Alstertal-Langenhorn,Hamburger Handballverband,Hamburger Handballverband,5,Oberliga,Oberliga Frauen (200),12383,7,0,0,0,0,0,0,0,0,0.0,,handball.net
127,SC DJK Everswinkel e.V.,Handballverband Westfalen,Handballverband Westfalen,5,Oberliga,HVW Frauen Oberliga Staffel 1,12651,5,0,0,0,0,0,0,0,0,0.0,,handball.net
128,SC Fortuna Köln,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Frauen Gr. 3,12909,10,0,0,0,0,0,0,0,0,0.0,,handball.net
129,SC Greven 09 E.V.,Handballverband Westfalen,Handballverband Westfalen,5,Oberliga,HVW Frauen Oberliga Staffel 2,12652,11,0,0,0,0,0,0,0,0,0.0,,handball.net
130,SC Riesa,Handballverband Sachsen,Handballverband Sachsen,5,Oberliga,OLS Frauen,12543,7,0,0,0,0,0,0,0,0,0.0,,handball.net
131,SF 01 Dresden,Handballverband Sachsen,Handballverband Sachsen,5,Oberliga,OLS Frauen,12543,8,0,0,0,0,0,0,0,0,0.0,,handball.net
132,SF Budenheim 2,Handballverband Rheinhessen-Pfalz,Handballverband Rheinhessen-Pfalz,5,Oberliga,F-OL,12404,6,0,0,0,0,0,0,0,0,0.0,,handball.net
133,SF Neustadt/Wied,Handballverband Rheinland,Handballverband Rheinland,5,Oberliga,Oberliga Frauen · Handballverband Rheinland,12821,8,0,0,0,0,0,0,0,0,0.0,,handball.net
134,SG Hamburg-Nord,Hamburger Handballverband,Hamburger Handballverband,5,Oberliga,Oberliga Frauen (200),12383,8,0,0,0,0,0,0,0,0,0.0,,handball.net
135,SG Handball Neumünster,Handballverband Schleswig-Holstein,Handballverband Schleswig-Holstein,5,Oberliga,Meisterrunde · Handballverband Schleswig-Holstein,14062,8,0,0,0,0,0,0,0,0,0.0,,handball.net
136,SG Klotzsche,Handballverband Sachsen,Handballverband Sachsen,5,Oberliga,OLS Frauen,12543,9,0,0,0,0,0,0,0,0,0.0,,handball.net
137,SG LaFt - Damen,Handballverband Rheinhessen-Pfalz,Handballverband Rheinhessen-Pfalz,5,Oberliga,F-OL,12404,7,0,0,0,0,0,0,0,0,0.0,,handball.net
138,SG Wilhelmsburg,Hamburger Handballverband,Hamburger Handballverband,5,Oberliga,Oberliga Frauen (200),12383,9,0,0,0,0,0,0,0,0,0.0,,handball.net
139,SG Zweibrücken,Handballverband SAAR,Handballverband SAAR,5,Oberliga,Oberliga Frauen,13012,9,0,0,0,0,0,0,0,0,0.0,,handball.net
140,SPVG Steinhagen,Handballverband Westfalen,Handballverband Westfalen,5,Oberliga,HVW Frauen Oberliga Staffel 1,12651,6,0,0,0,0,0,0,0,0,0.0,,handball.net
141,SSG Wuppertal/Hsv Wuppertal,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Frauen Gr. 2,12908,10,0,0,0,0,0,0,0,0,0.0,,handball.net
142,SSK Kerpen,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Frauen Gr. 3,12909,11,0,0,0,0,0,0,0,0,0.0,,handball.net
143,SSV Heidenau,Handballverband Sachsen,Handballverband Sachsen,5,Oberliga,OLS Frauen,12543,10,0,0,0,0,0,0,0,0,0.0,,handball.net
144,SV Henstedt-Ulzburg II,Handballverband Schleswig-Holstein,Handballverband Schleswig-Holstein,5,Oberliga,Meisterrunde · Handballverband Schleswig-Holstein,14062,9,0,0,0,0,0,0,0,0,0.0,,handball.net
145,SV Schneeberg,Handballverband Sachsen,Handballverband Sachsen,5,Oberliga,OLS Frauen,12543,11,0,0,0,0,0,0,0,0,0.0,,handball.net
146,SV Straelen,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Frauen Gr. 1,12910,6,0,0,0,0,0,0,0,0,0.0,,handball.net
