rang_bundesweit,verein,verband,gebiet,ligastufe,spielklasse,staffel,staffel_id,platz_in_staffel,spiele,siege,unentschieden,niederlagen,tore,gegentore,tordifferenz,punkte,punkte_pro_spiel,rangaenderung_vorwoche,quelle
130,MSG HF Illtal,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,13248,11,3,0,1,2,77,85,-8,1,0.33,,handball.net
131,BTB Aachen,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,1,0,0,0,0,0,0,0,0,0.0,,handball.net
132,Borussia Mönchengladbach,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,2,0,0,0,0,0,0,0,0,0.0,,handball.net
133,DJK Unitas HAAN E.V.,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,3,0,0,0,0,0,0,0,0,0.0,,handball.net
134,HC Gelpe/Strombach,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,4,0,0,0,0,0,0,0,0,0.0,,handball.net
135,HC Weiden 2018,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,5,0,0,0,0,0,0,0,0,0.0,,handball.net
136,HSG Refrath/Hand,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,6,0,0,0,0,0,0,0,0,0.0,,handball.net
137,HSG Siebengebirge-Thomasberg,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,7,0,0,0,0,0,0,0,0,0.0,,handball.net
138,HSG am Hallo I Herren,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,8,0,0,0,0,0,0,0,0,0.0,,handball.net
139,OSC Rheinhausen,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,9,0,0,0,0,0,0,0,0,0.0,,handball.net
140,SG Langenfeld,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,10,0,0,0,0,0,0,0,0,0.0,,handball.net
141,TSV Bonn rrh. 1. Männer,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,12902,11,0,0,0,0,0,0,0,0,0.0,,handball.net
